排行	股票		總市值	成交		漲跌		最高價	最低價	成交張
1	台積電 (2330)	63,529.43	245.00	+5.50	245.00	241.00	26,957	
2	鴻　海 (2317)	15,405.25	88.90	+1.00	89.70	88.10	35,318	
3	台塑化 (6505)	11,002.48	115.50	+2.50	115.50	113.50	2,228	
4	中華電 (2412)	8,494.40	109.50	+1.00	109.50	108.50	8,628	
5	國泰金 (2882)	6,872.08	54.70	+0.50	54.80	54.20	12,706	
6	台　塑 (1301)	6,620.37	104.00	+1.50	104.00	102.50	5,527	
7	台　化 (1326)	6,388.69	109.00	+2.50	109.00	106.50	5,438	
8	南　亞 (1303)	6,273.28	79.10	+0.60	79.30	78.30	7,235	
9	富邦金 (2881)	5,352.17	52.30	+0.50	52.40	51.90	11,627	
10	大立光 (3008)	5,298.53	3950.00	+105.00	4015.00	3895.00	671	
11	聯發科 (2454)	4,752.28	300.50	-1.50	302.00	299.50	6,129	
12	中信金 (2891)	4,143.11	21.25	+0.05	21.30	21.10	25,675	
13	中　鋼 (2002)	3,855.04	24.50	+0.20	24.55	24.25	24,895	
14	統　一 (1216)	3,795.59	66.80	－－	66.90	66.30	11,143	
15	台灣大 (3045)	3,677.39	107.50	+0.50	107.50	106.50	5,356	
16	台達電 (2308)	3,584.61	138.00	+0.50	138.50	137.00	2,747	
17	日月光 (2311)	3,473.08	39.75	+0.25	39.80	39.35	11,604	
18	兆豐金 (2886)	3,399.96	25.00	+0.25	25.00	24.80	13,986	
19	統一超 (2912)	2,983.72	287.00	+5.00	287.00	281.50	1,068	
20	可　成 (2474)	2,696.37	350.00	+1.00	350.50	347.00	4,313	
21	第一金 (2892)	2,431.06	19.90	+0.05	20.05	19.90	14,925	
22	遠　傳 (4904)	2,404.77	73.80	+0.50	74.20	73.10	3,058	
23	南亞科 (2408)	2,368.19	79.90	+0.60	80.40	78.80	18,821	
24	廣　達 (2382)	2,302.13	59.60	-0.10	60.00	59.50	4,959	
25	合庫金 (5880)	2,080.56	17.05	+0.25	17.05	16.80	13,996	
26	華　碩 (2357)	2,038.88	274.50	+2.50	274.50	272.50	1,295	
27	和　碩 (4938)	1,976.25	75.60	+1.90	75.80	74.50	4,625	
28	玉山金 (2884)	1,965.80	19.30	－－	19.40	19.30	16,740	
29	華南金 (2880)	1,883.43	17.05	+0.10	17.05	16.90	11,206	
30	環球晶 (6488)	1,836.45	420.00	-4.00	434.00	420.00	2,264	
31	和泰車 (2207)	1,835.16	336.00	+7.00	336.00	330.00	435	
32	聯　電 (2303)	1,786.34	14.15	+0.20	14.15	14.00	26,373	
33	正　新 (2105)	1,633.67	50.40	+0.80	50.40	49.65	5,116	
34	開發金 (2883)	1,594.98	10.65	+0.15	10.75	10.45	67,715	
35	彰　銀 (2801)	1,590.80	16.90	+0.20	16.95	16.70	8,907	
36	矽　品 (2325)	1,583.11	50.80	+0.20	50.80	50.70	1,904	
37	元大金 (2885)	1,575.32	13.25	+0.10	13.30	13.15	25,011	
